"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1049,"Decals",104908,"Paper Goods",10,5173.999999999999,2019
"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1049,"Postcards",104909,"Paper Goods",10,9392,2019
"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1049,"Calendars",104910,"Paper Goods",10,60051,2019
"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1049,"Other Printed Material",104911,"Paper Goods",10,487260,2019
"Silk",1150,"Raw Silk",115002,"Textiles",11,136.99999999999997,2019
"Silk",1150,"Silk Fabrics",115007,"Textiles",11,688,2019
"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1151,"Prepared Wool or Animal Hair",115105,"Textiles",11,182,2019
"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1151,"Non-Retail Animal Hair Yarn",115108,"Textiles",11,388,2019
"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1151,"Retail Wool or Animal Hair Yarn",115109,"Textiles",11,145,2019
"Cotton",1152,"Raw Cotton",115201,"Textiles",11,26873527,2019
"Cotton",1152,"Cotton Waste",115202,"Textiles",11,717847,2019
"Cotton",1152,"Prepared Cotton",115203,"Textiles",11,75186,2019
"Cotton",1152,"Cotton Sewing Thread",115204,"Textiles",11,46308,2019
"Cotton",1152,"Non-Retail Pure Cotton Yarn",115205,"Textiles",11,5330233,2019
"Cotton",1152,"Retail Cotton Yarn",115207,"Textiles",11,75,2019
"Cotton",1152,"Light Pure Woven Cotton",115208,"Textiles",11,1115999,2019
"Cotton",1152,"Heavy Pure Woven Cotton",115209,"Textiles",11,362372,2019
"Cotton",1152,"Light Mixed Woven Cotton",115210,"Textiles",11,13026,2019
"Cotton",1152,"Heavy Mixed Woven Cotton",115211,"Textiles",11,6577,2019
"Cotton",1152,"Other Cotton Fabrics",115212,"Textiles",11,651839,2019
"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",1153,"Flax Fibers",115301,"Textiles",11,11159,2019
"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",1153,"Jute and Other Textile Fibers",115303,"Textiles",11,2523453,2019
"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",1153,"Coconut and Other Vegetable Fibers",115305,"Textiles",11,40246860,2019
"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",1153,"Jute Yarn",115307,"Textiles",11,38160,2019
"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",1153,"Other Vegetable Fibers Yarn",115308,"Textiles",11,1740929,2019
"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",1153,"Flax Woven Fabric",115309,"Textiles",11,48,2019
"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",1153,"Jute Woven Fabric",115310,"Textiles",11,42,2019
"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",1153,"Other Vegetable Fibers Fabric",115311,"Textiles",11,1627,2019
"Man-made filaments",1154,"Artificial Filament Sewing Thread",115401,"Textiles",11,1681,2019
"Man-made filaments",1154,"Non-Retail Synthetic Filament Yarn",115402,"Textiles",11,80175,2019
"Man-made filaments",1154,"Non-Retail Artificial Filament Yarn",115403,"Textiles",11,251,2019
"Man-made filaments",1154,"Synthetic Monofilament",115404,"Textiles",11,15096,2019
"Man-made filaments",1154,"Retail Artificial Filament Yarn",115406,"Textiles",11,201,2019
"Man-made filaments",1154,"Synthetic Filament Yarn Woven Fabric",115407,"Textiles",11,410091,2019
"Man-made filaments",1154,"Artificial Filament Yarn Woven Fabric",115408,"Textiles",11,329,2019
